kabupaten,tahun,bulan,ndvi,curah_hujan,luas_lahan,produksi,ndvi_lag1,rain_lag1,ndvi_lag2,rain_lag2,ndvi_lag3,rain_lag3
Karangasem,2018,5,0.6308574192623391,19.347637887314463,5280.371140520672,13830.44,0.6825128687778064,36.49661746849689,0.748661468082736,181.7730687044784,0.72900606101679,281.8672532033369
Klungkung,2018,5,0.623578275199774,14.110785132784402,2151.653105477364,186.56,0.618325800451477,18.543850573381523,0.6878517896037171,106.72994294505004,0.6937190832165332,143.60306150951624
Tabanan,2018,5,0.6464022118213545,21.043940416962872,12755.139757528272,10747.36,0.6489005515789733,48.250121151617165,0.6921287555649476,220.9559931511486,0.6469241414243593,347.61344548716755
Denpasar,2018,5,0.5141962648467534,20.53039000738438,1172.3414495602472,3075.83,0.600085744379649,15.675769505098934,0.6510578778103729,133.6411107343506,0.6320982345896151,222.82562567597543
Badung,2018,6,0.5367346346905763,33.10208307369796,6779.65646097921,10227.21,0.5518988454236351,19.78919256920177,0.60353160656374,25.43166105213736,0.689446126318999,169.8128940346379
Bangli,2018,6,0.6743084822304138,28.17018147412317,2372.245399945641,1174.67,0.6414668094577449,15.916572293892084,0.6751983693121336,38.258781195834025,0.6863346170521224,209.78993472850647
Buleleng,2018,6,0.631055178554591,32.82282003474384,7658.447426861226,1705.3,0.5855397017220422,18.873970575567864,0.6671035174114047,62.50049528866874,0.7658099297888071,241.98597195592248
Gianyar,2018,6,0.6133885153793788,45.23915944174283,8118.96089555424,8961.52,0.610213635168195,20.651620779625407,0.6527132887333371,31.844874071329365,0.6759203718260818,150.82353923982632
Jembrana,2018,6,0.7043249094401014,30.198502881218303,5976.467866032081,5299.63,0.6577594691201213,21.49046536842119,0.5647239238922417,63.81228397465941,0.5460671234237385,204.351528406318
Karangasem,2018,6,0.5752705728352112,31.047508101252014,5280.371140520672,3974.25,0.6308574192623391,19.347637887314463,0.6825128687778064,36.49661746849689,0.748661468082736,181.7730687044784
Klungkung,2018,6,0.6961331591698965,38.634731323933,2151.653105477364,0.0,0.623578275199774,14.110785132784402,0.618325800451477,18.543850573381523,0.6878517896037171,106.72994294505004
Tabanan,2018,6,0.6037436750871118,34.43831713369007,12755.139757528272,19092.72,0.6464022118213545,21.043940416962872,0.6489005515789733,48.250121151617165,0.6921287555649476,220.9559931511486
Denpasar,2018,6,0.527588380026832,33.64828001496908,1172.3414495602472,457.46,0.5141962648467534,20.53039000738438,0.600085744379649,15.675769505098934,0.6510578778103729,133.6411107343506
Badung,2018,7,0.5630333825402115,35.855132106745124,6779.65646097921,5815.22,0.5367346346905763,33.10208307369796,0.5518988454236351,19.78919256920177,0.60353160656374,25.43166105213736
Bangli,2018,7,0.5897059248440254,31.28135115631581,2372.245399945641,598.76,0.6743084822304138,28.17018147412317,0.6414668094577449,15.916572293892084,0.6751983693121336,38.258781195834025
Buleleng,2018,7,0.6508117469294638,27.64061318889755,7658.447426861226,7886.57,0.631055178554591,32.82282003474384,0.5855397017220422,18.873970575567864,0.6671035174114047,62.50049528866874
Gianyar,2018,7,0.6229726494703027,37.33045992768497,8118.96089555424,6812.74,0.6133885153793788,45.23915944174283,0.610213635168195,20.651620779625407,0.6527132887333371,31.844874071329365
Jembrana,2018,7,0.597502227822857,34.75288575382432,5976.467866032081,12653.82,0.7043249094401014,30.198502881218303,0.6577594691201213,21.49046536842119,0.5647239238922417,63.81228397465941
Karangasem,2018,7,0.5243131684137271,32.499032714198655,5280.371140520672,4054.46,0.5752705728352112,31.047508101252014,0.6308574192623391,19.347637887314463,0.6825128687778064,36.49661746849689
Klungkung,2018,7,0.6728273792512661,30.11178178880336,2151.653105477364,1472.19,0.6961331591698965,38.634731323933,0.623578275199774,14.110785132784402,0.618325800451477,18.543850573381523
